s.no,borrower,financial dob,nonfinancial dob,annual_income,profession,marital status,institute_name,course_name,loan amount,course_cost,dpd_days,current_status,current city,current state,current pincode,permanent city,permanent state,interest rate,enach activated,imdb success,protection_type_name,cibilscore,lender_name,company name,disbursal date,work experience,loan category,loan type,sector,residence type,tenure,emi_amount
1,Mary Gonzalez,1993-06-10,1990-07-01,72348,"Civil engineer, contracting",Single,Jones-Cooper,step,41110,39144,319,Fully Disbursed,East Sarahfurt,Iowa,14601,Calvinhaven,Arizona,16.82,True,No,popular,586,"Gonzalez, Smith and Pham",Simpson LLC,1996-10-10,28,Education loan,College education,thought,Rented,14,4878
2,Jamie Smith,1977-05-24,1964-06-03,64257,Aid worker,Divorced,"Carr, Combs and Hancock",common,48537,4197,149,EMI Running,South Luke,Tennessee,98109,Sonyafort,South Dakota,6.99,True,Yes,guy,703,"Richmond, Graham and Mcmahon",Farmer-Fernandez,1970-03-11,16,Education loan,Certification,list,Owned,29,2260
3,Joshua Henry II,1983-07-11,1977-08-09,52448,Television/film/video producer,Married,"Owens, Smith and Caldwell",success,13178,31166,303,Fully Disbursed,Courtneyport,Idaho,19463,West Robert,California,12.56,True,Yes,meeting,509,Rogers-Garcia,"Dunn, Peterson and Warren",1979-07-21,24,Education loan,School Education,nation,Owned,22,3721
4,Kim Booth,1980-04-22,1974-12-12,184659,"Surveyor, land/geomatics",Single,"Fitzgerald, White and Allen",bed,36270,23939,85,EMI Running,West Melissa,Hawaii,50960,New James,South Carolina,9.23,True,No,treatment,659,Ramos Ltd,Everett-Sims,2012-12-02,1,Education loan,College education,when,Rented,20,4980
5,Richard Ho,1984-04-25,1983-10-22,35242,Hospital pharmacist,Single,Ortega Inc,many,46212,4892,81,Fully Disbursed,Pattersonville,Vermont,93020,New Toni,Iowa,16.52,True,No,eye,877,Fernandez PLC,"West, Ellis and Jackson",1971-07-14,27,Education loan,School Education,nothing,Owned,21,2401
6,Lisa Hogan,1981-12-26,2002-02-11,187225,Emergency planning/management officer,Married,"Landry, Humphrey and Gomez",compare,23154,32475,284,EMI Running,Huntville,California,53800,Port Jodiberg,Nevada,12.57,True,Yes,understand,411,"Fitzgerald, Lee and Cannon",Mclaughlin-Hall,2016-07-05,5,Education loan,School Education,produce,Owned,1,3645
7,Courtney Wright,1972-04-24,1965-06-21,36346,Geoscientist,Single,Smith-Thomas,shoulder,31952,5144,327,EMI Running,New Raymondfort,Connecticut,15787,Lawsonville,Michigan,5.4,True,No,movement,563,Carlson-Macdonald,"Anderson, Bates and Roth",1976-10-28,23,Education loan,College education,cup,Rented,17,4515
8,Andrew Williams,1966-10-02,1987-04-03,184265,Educational psychologist,Divorced,"Hughes, Mcconnell and Taylor",wonder,28769,10252,365,EMI Running,New Wendy,Delaware,23617,Leeview,Washington,8.3,True,No,firm,844,Owens Inc,Sanders-Smith,2002-08-28,8,Education loan,College education,wide,Owned,21,2061
9,Jason Alvarado,1998-07-04,1998-08-24,31311,Management consultant,Divorced,Fisher Group,six,23575,5092,271,Fully Disbursed,North Amystad,Missouri,64499,South William,Montana,11.18,False,No,finish,470,Khan and Sons,"Stewart, Clark and Lopez",1992-12-02,39,Education loan,College education,husband,Rented,2,4518
10,Megan Zimmerman,1970-08-18,2002-01-12,169884,Architectural technologist,Divorced,Robbins and Sons,cost,25915,19059,82,Fully Disbursed,West Jefferyberg,Oregon,85112,Lake Taylor,New Jersey,13.4,False,No,read,358,Wise-Green,"Brady, Harrell and Morgan",2020-12-30,15,Education loan,Certification,activity,Rented,8,2273
11,Zoe Doyle,2002-09-28,1962-02-17,151827,TEFL teacher,Divorced,"Bradley, Reynolds and Phillips",money,10139,19989,118,Fully Disbursed,Lake Juanmouth,New York,68696,Normanfurt,Nebraska,18.37,True,No,gas,493,Gonzales and Sons,Lee-Stone,2008-07-13,18,Education loan,College education,financial,Owned,19,2845
